"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"1466111";"50";"1253351";"28.13";"1";"0";"VOLUPTE de Oscar de la Renta 1253351";"Eau de Toilette spray 45 ml";"19";"Oscar de la Renta";"Femmes";"VOLUPTE";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/125335.jpg";"http://www.parfumrama.com/product_info.php?products_id=146611";"1253351";"14"
"146612";"50";"124761";"26.61";"1";"0";"VOLUPTE de Oscar de la Renta 124761";"Eau de Toilette Vaporisateur 95 ml";"119";"Oscar de la Renta";"Femmes";"VOLUPTE";"95 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/124761.jpg";"http://www.parfumrama.com/product_info.php?products_id=146612";"124761";"14"
"1466121";"50";"1247611";"26.61";"1";"0";"VOLUPTE de Oscar de la Renta 1247611";"Eau de Toilette spray 95 ml";"119";"Oscar de la Renta";"Femmes";"VOLUPTE";"95 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/124761.jpg";"http://www.parfumrama.com/product_info.php?products_id=146612";"1247611";"14"
"146613";"50";"117454";"18.19";"1";"0";"OSCAR POUR LUI de Oscar de la Renta 117454";"Eau de Toilette Vaporisateur 45 ml";"106";"Oscar de la Renta";"Hommes";"OSCAR POUR LUI";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117454.jpg";"http://www.parfumrama.com/product_info.php?products_id=146613";"117454";"14"
"1466131";"50";"1174541";"18.19";"1";"0";"OSCAR POUR LUI de Oscar de la Renta 1174541";"Eau de Toilette spray 45 ml";"106";"Oscar de la Renta";"Hommes";"OSCAR POUR LUI";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117454.jpg";"http://www.parfumrama.com/product_info.php?products_id=146613";"1174541";"14"
"146614";"50";"123758";"24.94";"1";"0";"OSCAR POUR LUI de Oscar de la Renta 123758";"Eau de Toilette Vaporisateur 90 ml";"125";"Oscar de la Renta";"Hommes";"OSCAR POUR LUI";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123758.jpg";"http://www.parfumrama.com/product_info.php?products_id=146614";"123758";"14"
"1466141";"50";"1237581";"24.94";"1";"0";"OSCAR POUR LUI de Oscar de la Renta 1237581";"Eau de Toilette spray 90 ml";"125";"Oscar de la Renta";"Hommes";"OSCAR POUR LUI";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123758.jpg";"http://www.parfumrama.com/product_info.php?products_id=146614";"1237581";"14"
"252900";"50";"141439";"21.61";"1";"0";"OSCAR de Oscar de la Renta 141439";"Eau de Toilette Vaporisateur 95 ml";"125";"Oscar de la Renta";"Hommes";"OSCAR";"95 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/141439.jpg";"http://www.parfumrama.com/product_info.php?products_id=252900";"141439";"14"
"2529001";"50";"1414391";"21.61";"1";"0";"OSCAR de Oscar de la Renta 1414391";"Eau de Toilette spray 95 ml";"125";"Oscar de la Renta";"Hommes";"OSCAR";"95 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/141439.jpg";"http://www.parfumrama.com/product_info.php?products_id=252900";"1414391";"14"
"252897";"50";"126173";"31.62";"1";"0";"OSCAR de Oscar de la Renta 126173";"Eau de Toilette Vaporisateur 50 ml";"111";"Oscar de la Renta";"Femmes";"OSCAR";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126173.jpg";"http://www.parfumrama.com/product_info.php?products_id=252897";"126173";"14"
"2528971";"50";"1261731";"31.62";"1";"0";"OSCAR de Oscar de la Renta 1261731";"Eau de Toilette spray 50 ml";"111";"Oscar de la Renta";"Femmes";"OSCAR";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126173.jpg";"http://www.parfumrama.com/product_info.php?products_id=252897";"1261731";"14"
"211213";"50";"117406";"28.28";"1";"0";"OSCAR de Oscar de la Renta 117406";"Eau de Toilette Vaporisateur 60 ml";"45";"Oscar de la Renta";"Femmes";"OSCAR";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117406.jpg";"http://www.parfumrama.com/product_info.php?products_id=211213";"117406";"14"
"2112131";"50";"1174061";"28.28";"1";"0";"OSCAR de Oscar de la Renta 1174061";"Eau de Toilette spray 60 ml";"45";"Oscar de la Renta";"Femmes";"OSCAR";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/117406.jpg";"http://www.parfumrama.com/product_info.php?products_id=211213";"1174061";"14"
"272090";"50";"155521";"19.1";"1";"0";"INTRUSION de Oscar de la Renta 155521";"Eau de Parfum recharge 30 ml (QUANTITY OF TWO)";"125";"Oscar de la Renta";"Femmes";"INTRUSION";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/155521.jpg";"http://www.parfumrama.com/product_info.php?products_id=272090";"155521";"14"
"272148";"50";"176977";"21.4";"1";"0";"OSCAR SHEER FREESIA de Oscar de la Renta 176977";"Eau de Toilette Vaporisateur 60 ml";"107";"Oscar de la Renta";"Femmes";"OSCAR SHEER FREESIA";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/176977.jpg";"http://www.parfumrama.com/product_info.php?products_id=272148";"176977";"14"
"2721481";"50";"1769771";"21.4";"1";"0";"OSCAR SHEER FREESIA de Oscar de la Renta 1769771";"Eau de Toilette spray 60 ml";"107";"Oscar de la Renta";"Femmes";"OSCAR SHEER FREESIA";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/176977.jpg";"http://www.parfumrama.com/product_info.php?products_id=272148";"1769771";"14"
"273773";"3";"134793";"19.94";"1";"0";"ROSAMOR de Oscar de la Renta 134793";"Eau de Toilette Vaporisateur 45 ml";"78";"Oscar de la Renta";"Femmes";"ROSAMOR";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134793.jpg";"http://www.parfumrama.com/product_info.php?products_id=273773";"134793";"14"
"2737731";"3";"1347931";"19.94";"1";"0";"ROSAMOR de Oscar de la Renta 1347931";"Eau de Toilette spray 45 ml";"78";"Oscar de la Renta";"Femmes";"ROSAMOR";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/134793.jpg";"http://www.parfumrama.com/product_info.php?products_id=273773";"1347931";"14"
"275220";"50";"198664";"21.19";"1";"0";"OSCAR SOFT AMBER de Oscar de la Renta 198664";"Eau de Toilette Vaporisateur 60 ml";"126";"Oscar de la Renta";"Femmes";"OSCAR SOFT AMBER";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/198664.jpg";"http://www.parfumrama.com/product_info.php?products_id=275220";"198664";"14"
"2752201";"50";"1986641";"21.19";"1";"0";"OSCAR SOFT AMBER de Oscar de la Renta 1986641";"Eau de Toilette spray 60 ml";"126";"Oscar de la Renta";"Femmes";"OSCAR SOFT AMBER";"60 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/198664.jpg";"http://www.parfumrama.com/product_info.php?products_id=275220";"1986641";"14"
"281635";"20";"206592";"24.11";"1";"0";"INTRUSION INTENSE de Oscar de la Renta 206592";"Eau de Parfum Vaporisateur 30 ml";"28";"Oscar de la Renta";"Femmes";"INTRUSION INTENSE";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/206592.jpg";"http://www.parfumrama.com/product_info.php?products_id=281635";"206592";"14"
"2816351";"20";"2065921";"24.11";"1";"0";"INTRUSION INTENSE de Oscar de la Renta 2065921";"Eau de Parfum spray 30 ml";"28";"Oscar de la Renta";"Femmes";"INTRUSION INTENSE";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/206592.jpg";"http://www.parfumrama.com/product_info.php?products_id=281635";"2065921";"14"
"282514";"37";"209001";"10.97";"1";"0";"SO DE LA RENTA de Oscar de la Renta 209001";"SOAP 105 ml";"15";"Oscar de la Renta";"Femmes";"SO DE LA RENTA";"105 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/209001.jpg";"http://www.parfumrama.com/product_info.php?products_id=282514";"209001";"14"
"284230";"34";"208997";"34.95";"1";"0";"ESPRIT D'OSCAR de Oscar de la Renta 208997";"Eau de Parfum Vaporisateur 100 ml";"43";"Oscar de la Renta";"Femmes";"ESPRIT D'OSCAR";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/208997.jpg";"http://www.parfumrama.com/product_info.php?products_id=284230";"208997";"14"
"2842301";"34";"2089971";"34.95";"1";"0";"ESPRIT D'OSCAR de Oscar de la Renta 2089971";"Eau de Parfum spray 100 ml";"43";"Oscar de la Renta";"Femmes";"ESPRIT D'OSCAR";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/208997.jpg";"http://www.parfumrama.com/product_info.php?products_id=284230";"2089971";"14"
"284438";"35";"213838";"27.45";"1";"0";"ESPRIT D'OSCAR de Oscar de la Renta 213838";"Eau de Parfum Vaporisateur 50 ml";"40";"Oscar de la Renta";"Femmes";"ESPRIT D'OSCAR";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/213838.jpg";"http://www.parfumrama.com/product_info.php?products_id=284438";"213838";"14"
"2844381";"35";"2138381";"27.45";"1";"0";"ESPRIT D'OSCAR de Oscar de la Renta 2138381";"Eau de Parfum spray 50 ml";"40";"Oscar de la Renta";"Femmes";"ESPRIT D'OSCAR";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/213838.jpg";"http://www.parfumrama.com/product_info.php?products_id=284438";"2138381";"14"
"287387";"27";"221006";"30.78";"1";"0";"OSCAR DE LA RENTA LIVE IN LOVE de Oscar de la Renta 221006";"Eau de Parfum Vaporisateur 50 ml";"5";"Oscar de la Renta";"Femmes";"OSCAR DE LA RENTA LIVE IN LOVE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/221006.jpg";"http://www.parfumrama.com/product_info.php?products_id=287387";"221006";"14"
"2873871";"27";"2210061";"30.78";"1";"0";"OSCAR DE LA RENTA LIVE IN LOVE de Oscar de la Renta 2210061";"Eau de Parfum spray 50 ml";"5";"Oscar de la Renta";"Femmes";"OSCAR DE LA RENTA LIVE IN LOVE";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/221006.jpg";"http://www.parfumrama.com/product_info.php?products_id=287387";"2210061";"14"
"287388";"32";"221007";"39.96";"1";"0";"OSCAR DE LA RENTA LIVE IN LOVE de Oscar de la Renta 221007";"Eau de Parfum Vaporisateur 100 ml";"4";"Oscar de la Renta";"Femmes";"OSCAR DE LA RENTA LIVE IN LOVE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/221007.jpg";"http://www.parfumrama.com/product_info.php?products_id=287388";"221007";"14"
"2873881";"32";"2210071";"39.96";"1";"0";"OSCAR DE LA RENTA LIVE IN LOVE de Oscar de la Renta 2210071";"Eau de Parfum spray 100 ml";"4";"Oscar de la Renta";"Femmes";"OSCAR DE LA RENTA LIVE IN LOVE";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/221007.jpg";"http://www.parfumrama.com/product_info.php?products_id=287388";"2210071";"14"
